菜品名称,有效匹配食材数,总重量(g),参与计算的成分明细,能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),维生素C(mg),钙(mg),钠(mg)
鸭子海带汤,6,81.0,梨(鸭梨):25.0g | 海带[江白菜](鲜):2.0g | 玉兰片:40.0g | 酒枣:10.0g | 枸杞菜[枸杞，地骨](鲜):2.0g | 盐水鸭(熟):2.0g,250.98,1.72,0.78,13.97,0.0,2.56,27.14,33.13
白果的去衣,1,10.0,白果(干)[银杏]:10.0g,150.7,1.32,0.13,7.26,0.0,0.0,5.4,1.75
咸鹅白菜粉丝,6,44.0,鹅:10.0g | 大白菜(均值):10.0g | 粉丝:10.0g | 水面筋:10.0g | 玉兰片:2.0g | 料酒:2.0g,321.08,4.43,2.04,10.29,0.0,3.12,17.22,19.5
软烧茄子,6,60.0,茄子(均值):10.0g | 青豆[青大豆](干):10.0g | 洋葱[葱头](鲜):10.0g | 胡萝卜(红)[金笋，丁香萝卜]:10.0g | 姜(干):10.0g | 玉米淀粉:10.0g,486.2,4.8,2.24,20.71,0.0,2.6,36.0,9.92
百合木瓜鸡丁,11,516.0,鸡毛菜:150.0g | 百合(鲜):150.0g | 木瓜[番木瓜]:200.0g | 油饼:2.0g | 盐水鸭(熟):2.0g | 姜[黄姜](鲜):2.0g | 大蒜[蒜头](鲜):2.0g | 小麦粉(标准粉):2.0g | 烧饼(加糖):2.0g | 香菜[芫荽](鲜):2.0g | 生抽:2.0g,1549.14,10.77,1.73,80.61,3.15,150.18,173.92,333.37
白煮笋,2,20.0,春笋(鲜):10.0g | 酱油(均值):10.0g,37.5,0.8,0.02,1.52,0.0,0.5,7.4,576.3
菠菜凉菜,1,1.0,菠菜[赤根菜](鲜):1.0g,1.16,0.03,0.0,0.04,0.0,0.32,0.66,0.85
肥肠烧土豆,10,666.0,大蒜[蒜头](鲜):10.0g | 酱油(均值):10.0g | 盐水鸭(熟):10.0g | 生抽:10.0g | 猪肉(肥):300.0g | 芋头[芋艿，毛芋]:250.0g | 马铃薯[土豆，洋芋]:50.0g | 豆瓣酱:15.0g | 细香葱[香葱，四季葱]:1.0g | 花椒:10.0g,11447.56,19.59,270.96,67.19,0.0,29.34,188.49,2421.02
鹌鹑蛋白果糖水,5,50.0,鹌鹑:10.0g | 白果(干)[银杏]:10.0g | 腐竹:10.0g | 玉兰片:10.0g | 糖（红糖）:10.0g,582.8,8.13,2.65,21.03,0.0,0.1,37.8,11.26
白灼芥蓝头,3,30.0,芥蓝[甘蓝菜，盖蓝菜]:10.0g | 油饼:10.0g | 油菜:10.0g,188.0,1.25,2.38,4.88,0.0,11.2,28.2,67.88
紫薯红枣卷,5,654.0,紫红糯米[血糯米]:150.0g | 凉面:200.0g | 红豆沙:300.0g | 酵母(鲜):2.0g | 牛奶(草莓味，卡夫牌):2.0g,6740.66,35.66,6.31,351.23,0.0,0.0,82.24,413.14
酱鸡心,10,36.0,蕨菜(腌):10.0g | 鸡心:2.0g | 姜(干):2.0g | 松子(炒):10.0g | 盐水鸭(熟):2.0g | 鸡精:2.0g | 五香粉:2.0g | 酱油(均值):2.0g | 油面筋:2.0g | 老抽:2.0g,447.1,3.53,7.48,7.53,0.01,0.0,36.34,764.65
紫灵芝鸡汤,12,220.0,素鸡:10.0g | 金针菜[黄花菜]:20.0g | 金针菇[智力菇](鲜):100.0g | 枸杞菜[枸杞，地骨](鲜):10.0g | 细香葱[香葱，四季葱]:10.0g | 玉兰片:10.0g | 糜子(带皮):10.0g | 大麦[元麦]:10.0g | 草菇[大黑头细花草]:10.0g | 料酒:10.0g | 盐水鸭(熟):10.0g | 香菜[芫荽](鲜):10.0g,895.3,13.22,4.98,32.6,0.0,16.1,136.0,252.55
埃索瓦司香料面包,5,632.5,藕粉:350.0g | 藕粉:50.0g | 盐水鸭(熟):10.0g | 油（橄榄油):22.5g | 酸乳饮料(发酵):200.0g,7755.65,3.86,25.69,396.5,0.0,0.0,81.0,297.15
酸菜粉条肉,4,24.0,韭菜:10.0g | 粉条:10.0g | 挂面(均值):2.0g | 酵母(鲜):2.0g,194.44,0.55,0.06,10.87,0.0,2.4,8.22,5.73
白灼小油菜末,8,140.0,油菜:10.0g | 大蒜[蒜头](鲜):50.0g | 玉兰片:30.0g | 花椒:10.0g | 油饼:10.0g | 生抽:10.0g | 盐水鸭(熟):10.0g | 鸡精:10.0g,885.3,7.88,6.35,34.18,0.07,7.4,114.8,2758.6
韭菜盒子馅,8,891.0,虾虎:500.0g | 海参:250.0g | 韭菜:1.0g | 蛋（鸡蛋，均值):100.0g | 盐水鸭(熟):2.0g | 味精:10.0g | 香肠:3.0g | 油饼:25.0g,3759.31,119.61,25.29,46.74,0.0,0.24,901.04,3131.38
鲍汁猴头蘑,6,60.0,鲍鱼[杂色鲍]:10.0g | 西兰花[绿菜花]:10.0g | 大葱:10.0g | 姜[黄姜](鲜):10.0g | 盐水鸭(熟):10.0g | 鸡精:10.0g,296.9,4.7,3.12,6.3,0.07,7.2,40.7,2247.21
阿婆手撕包菜,9,346.0,甘蓝[圆白菜，卷心菜]:25.0g | 彩椒:3.0g | 猪肉(奶面)[硬五花]:250.0g | 大蒜[蒜头](鲜):3.0g | 豆汁(生):5.0g | 小麦粉(标准粉):15.0g | 油饼:15.0g | 生抽:15.0g | 花椒:15.0g,4233.96,39.18,81.58,35.12,0.1,13.33,138.89,1189.07
xo酱杏鲍菇,6,45.0,杏:2.0g | 油饼:10.0g | 咸肉:3.0g | 生抽:10.0g | 胡椒粉:10.0g | 料酒:10.0g,382.13,2.77,3.6,12.11,0.0,0.08,8.38,729.12
冬虫草瘦肉汤,9,176.0,马肉:10.0g | 猪肉(肋条肉):100.0g | 油条:3.0g | 莲子(干):15.0g | 杏干:10.0g | 芡实米(鲜)[鸡头米]:10.0g | 蜜枣:25.0g | 虾皮:1.0g | 水面筋:2.0g,3239.95,15.91,60.42,44.46,0.0,15.1,63.01,171.09
素干煸豆角,6,60.0,花椒:10.0g | 青蒜:10.0g | 盐水鸭(熟):10.0g | 酱油(均值):10.0g | 辣椒(红，尖，干):10.0g | 豆角:10.0g,438.7,4.88,4.76,14.5,0.0,3.4,78.0,737.86
油盐酱油,4,6.0,小米:1.0g | 玉米(白，干):2.0g | 鸡胸脯肉:1.0g | 生抽:2.0g,52.33,0.56,0.16,2.27,0.0,0.0,0.96,128.13
