菜品名称,有效匹配食材数,总重量(g),参与计算的成分明细,能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),维生素C(mg),钙(mg),钠(mg)
金枪鱼沙拉,10,426.0,金枪鱼(盐水浸):25.0g | 生菜(牛俐)[油麦菜]:20.0g | 沙果:250.0g | 黄瓜[胡瓜](鲜):25.0g | 柿:25.0g | 洋葱[葱头](鲜):25.0g | 毛蛋:50.0g | 白醋:2.0g | 胡椒粉:2.0g | 油（橄榄油):2.0g,1469.61,15.02,9.26,54.38,0.0,23.25,145.31,146.29
布里欧修,19,1009.5,藕粉:50.0g | 烧饼(加糖):5.0g | 盐水鸭(熟):5.0g | 水面筋:80.0g | 中华猕猴桃[毛叶猕猴桃]:10.0g | 藕粉:250.0g | 香肠:10.0g | 酵母(鲜):2.0g | 乳品（奶油）:40.0g | 牛奶(草莓味，卡夫牌):120.0g | 藕粉:250.0g | 全脂加糖奶粉:25.0g | 奶糖:50.0g | 盐水鸭(熟):2.5g | 酵母(鲜):6.0g | 蛋（鸡蛋，均值):2.0g | 牛奶(草莓味，卡夫牌):60.0g | 油（椰子油):40.0g | 葡萄干:2.0g,14567.43,36.57,99.77,603.93,0.0,6.3,409.83,809.45
咖啡曲奇,8,375.0,黄油:100.0g | 小麦粉(标准粉):65.0g | 藕粉:120.0g | 可可粉:16.0g | 咖啡粉:4.0g | 玉米淀粉:50.0g | 杏:10.0g | 豆粕:10.0g,7693.86,17.69,100.61,218.38,0.0,0.4,108.03,71.41
肥牛汤,9,273.0,牛蒡叶(鲜):150.0g | 番茄[西红柿]:50.0g | 金针菇[智力菇](鲜):1.0g | 烧饼(加糖):5.0g | 盐水鸭(熟):6.0g | 油面筋:15.0g | 生抽:30.0g | 番茄酱:15.0g | 细香葱[香葱，四季葱]:1.0g,837.9,15.16,6.8,21.68,0.0,47.16,385.04,2024.52
水晶饺,9,960.0,西葫芦:10.0g | 杏鲍菇:10.0g | 香菇片:8.0g | 籼米:10.0g | 胡椒粉:2.0g | 盐水鸭(熟):10.0g | 油面筋:10.0g | 藕粉:500.0g | 水面筋:400.0g,10988.58,101.29,6.7,534.02,2.25,0.76,352.9,461.8
香肠菜饭,6,151.0,香大米:30.0g | 香肠:2.0g | 鸡毛菜:100.0g | 盐水鸭(熟):15.0g | 油（菜籽油)[青油]:2.0g | 水面筋:2.0g,844.02,9.95,7.2,25.21,2.1,24.0,83.88,349.4
酸奶蛋糕,8,140.0,奶片:10.0g | 毛蛋:10.0g | 橙:25.0g | 烧饼(加糖):10.0g | 粳米(标一):10.0g | 藕粉:40.0g | 香蕉[甘蕉]:25.0g | 葡萄干:10.0g,1472.9,5.2,3.75,73.76,0.0,11.25,68.65,38.77
红薯饼,5,10.0,甘薯(红心)[山芋，红薯]:2.0g | 小麦粉(标准粉):2.0g | 玉米淀粉:2.0g | 水面筋:2.0g | 油饼:2.0g,113.32,0.9,0.5,4.76,0.0,0.52,3.88,12.51
烤鸡翅,10,561.0,鸡翅:400.0g | 生抽:30.0g | 料酒:15.0g | 老抽:30.0g | 油面筋:15.0g | 细香葱[香葱，四季葱]:1.0g | 玉兰片:10.0g | 料酒:30.0g | 藕粉:15.0g | 五香粉:15.0g,4239.31,78.05,52.33,58.48,0.0,0.24,88.64,4323.54
巧克力奶,4,313.0,藕粉:200.0g | 牛奶(巧克力味，卡夫牌):100.0g | 糖（绵白糖）:8.0g | 炼乳(甜，罐头):5.0g,3708.64,3.61,3.64,206.68,0.0,0.1,109.58,63.75
花鸡,10,598.0,素鸡:1.0g | 水面筋:100.0g | 油饼:90.0g | 藕粉:250.0g | 蛋（鸡蛋，均值):50.0g | 彩椒:25.0g | 糖（绵白糖）:45.0g | 茶树菇(干)[柱状田头菇、油茶菇]:30.0g | 青蒜:2.0g | 酵母(鲜):5.0g,7588.35,45.4,26.07,348.66,5.45,26.32,175.67,632.0
紫菜蛋花汤,5,66.0,红菜薹[紫菜薹]:10.0g | 鸡精:2.0g | 蛋（鸡蛋，均值):50.0g | 盐水鸭(熟):2.0g | 醋栗[灯笼果]:2.0g,363.9,7.5,5.24,2.58,0.01,6.26,31.46,474.36
千层马蹄糕,6,1600.0,藕粉:250.0g | 奶糖:50.0g | 冰棍:50.0g | 水面筋:700.0g | 椰子汁饮料:400.0g | 牛奶(草莓味，卡夫牌):150.0g,10499.5,173.5,18.2,407.95,0.0,0.0,721.5,350.7
水煮鱼,17,222.0,油条:2.0g | 花椒:2.0g | 辣椒(红，尖，干):10.0g | 大葱:2.0g | 奶片:30.0g | 青蒜:2.0g | 精盐:10.0g | 玉米淀粉:10.0g | 玉米油:35.0g | 生抽:20.0g | 料酒:20.0g | 胡椒粉:10.0g | 烧饼(加糖):5.0g | 豆瓣菜[西洋菜，水田芥](鲜):50.0g | 鸡蛋白(乌骨鸡):10.0g | 芝麻籽(白):2.0g | 细香葱[香葱，四季葱]:2.0g,2557.88,11.19,43.93,46.79,0.0,28.44,138.34,5381.77
鱼香茄子,11,1245.0,茄子(圆):500.0g | 彩椒:400.0g | 姜(干):1.0g | 玉米笋(罐头):1.0g | 细香葱[香葱，四季葱]:2.0g | 盐水鸭(熟):5.0g | 酱油(均值):8.0g | 白醋:8.0g | 藕粉:15.0g | 高粱米:300.0g | 油面筋:5.0g,6116.0,47.21,13.78,300.95,13.2,421.28,139.27,623.51
阿胶糕,5,1300.0,黄酒:500.0g | 山核桃(熟)[小核桃]:250.0g | 芝麻油[香油]:250.0g | 枸杞菜[枸杞，地骨](鲜):50.0g | 糖（冰糖）:250.0g,20744.0,30.55,376.8,380.5,0.0,29.0,635.5,1126.15
烧茄子,7,21.0,堤鱼:10.0g | 油条:1.0g | 大蒜[蒜头](鲜):2.0g | 姜[黄姜](鲜):2.0g | 大葱:2.0g | 醋栗[灯笼果]:2.0g | 油饼:2.0g,150.83,2.16,1.95,2.58,0.0,1.12,4.88,24.61
白菜炖冻豆腐,12,1664.0,大白菜(均值):750.0g | 豆腐花[豆腐粉]:600.0g | 猪肉(肥瘦)(均值):100.0g | 粉条:2.0g | 玉兰片:30.0g | 香菜[芫荽](鲜):2.0g | 小米:100.0g | 白瓜:1.0g | 生抽:45.0g | 盐水鸭(熟):30.0g | 油饼:2.0g | 胡椒粉:2.0g,14533.7,101.78,64.96,617.94,0.0,233.92,1498.54,3848.6
打卤面,10,583.0,番茄[西红柿]:200.0g | 面条(标准粉，切面):10.0g | 蛋（鸡蛋，均值):200.0g | 马铃薯[土豆，洋芋]:25.0g | 小米:1.0g | 小米:10.0g | 甘蓝[圆白菜，卷心菜]:25.0g | 大葱:2.0g | 蛇瓜[蛇豆，大豆角]:100.0g | 韭菜:10.0g,1858.88,32.89,18.75,37.75,0.0,61.49,347.84,284.39
炒意大利面,7,38.0,凉面:2.0g | 番茄酱:2.0g | 酱鸭:10.0g | 西兰花[绿菜花]:10.0g | 玉米(白，干):2.0g | 青豆[青大豆](干):2.0g | 马铃薯[土豆，洋芋]:10.0g,243.26,3.56,2.35,5.99,0.0,7.8,13.7,104.38
猪皮冻,2,4.0,糜子(带皮):2.0g | 生抽:2.0g,30.14,0.31,0.01,1.5,0.0,0.0,2.3,127.89
麻辣鸡爪,6,1557.0,鸡爪:1500.0g | 花椒:2.0g | 彩椒:25.0g | 枸杞菜[枸杞，地骨](鲜):10.0g | 彩椒:10.0g | 小米:10.0g,16122.25,360.55,246.67,52.03,1.16,42.2,563.63,2541.74
蝴蝶酥,1,2.0,水面筋:2.0g,12.08,0.47,0.0,0.25,0.0,0.0,1.52,0.3
蒸肉饼,9,360.0,"猪肉(肥瘦)(均值):300.0g | 芥菜头[大头菜，水芥]:30.0g | 花生油:2.0g | 小米:10.0g | 藕粉:10.0g | 姜[黄姜](鲜):2.0g | 葱(小葱,鲜):2.0g | 生抽:2.0g | 盐水鸭(熟):2.0g",5367.0,41.58,113.91,26.59,0.0,10.7,45.14,358.81
韭菜鸡蛋,4,450.0,韭菜:150.0g | 小麦粉(标准粉):100.0g | 蛋（鸡蛋，均值):100.0g | 香菇[香蕈，冬菇](鲜):100.0g,2365.5,30.3,11.2,88.5,0.0,37.0,152.0,148.15
大米糕,4,906.0,香大米:400.0g | 水面筋:350.0g | 烧饼(加糖):150.0g | 酵母(鲜):6.0g,9932.56,145.21,7.1,428.13,0.0,0.0,375.04,233.07
蒸鸡,9,188.0,香菇[香蕈，冬菇](鲜):5.0g | 鸡腿:100.0g | 玉米淀粉:15.0g | 料酒:30.0g | 姜[黄姜](鲜):2.0g | 油面筋:30.0g | 胡椒粉:2.0g | 盐水鸭(熟):2.0g | 糖（绵白糖）:2.0g,1692.45,25.0,21.14,28.91,0.0,0.13,22.6,186.85
风琴土豆,10,130.0,豆粕:10.0g | 马铃薯[土豆，洋芋]:50.0g | 香肠:1.0g | 胡椒粉:2.0g | 油饼:10.0g | 鱼排:10.0g | 鱼排:10.0g | 油饼:25.0g | 胡椒粉:2.0g | 凉面:10.0g,1179.6,11.14,9.47,38.65,0.0,13.5,38.52,325.64
煎蛋,3,210.0,蛋（鸡蛋，均值):100.0g | 黄豆芽:100.0g | 油饼:10.0g,966.4,18.59,12.69,11.54,0.0,8.0,81.6,195.95
流沙包,4,217.0,藕粉:40.0g | 糖（绵白糖）:15.0g | 小麦粉(标准粉):160.0g | 酵母(鲜):2.0g,3259.87,18.07,2.4,170.27,0.0,0.0,53.88,9.85
酸汤肥牛,15,150.0,料酒:10.0g | 花卷:10.0g | 海鲜味方便面(含调味料):10.0g | 金针菇[智力菇](鲜):10.0g | 番茄[西红柿]:10.0g | 香菜[芫荽](鲜):10.0g | 青豆[青大豆](干):10.0g | 彩椒:10.0g | 黄米:10.0g | 大蒜[蒜头](鲜):10.0g | 小米:10.0g | 姜[黄姜](鲜):10.0g | 白醋:10.0g | 盐水鸭(熟):10.0g | 烧饼(加糖):10.0g,1128.6,10.72,7.16,41.91,0.33,18.4,55.7,270.22
红烧肉蛋,10,969.0,"猪肉(奶面)[硬五花]:500.0g | 蛋（鸡蛋，均值):200.0g | 葱(小葱,鲜):2.0g | 奶片:150.0g | 料酒:10.0g | 酱油(均值):30.0g | 乳鸽(红烧):30.0g | 油面筋:15.0g | 糖（冰糖）:30.0g | 盐水鸭(熟):2.0g",12418.03,125.73,211.47,144.58,0.0,7.92,1063.79,3126.18
肉末烧茄子,4,40.0,茄子(均值):10.0g | 猪肉(肋条肉):10.0g | 油炸豆瓣:10.0g | 辣椒(红，尖，干):10.0g,537.2,5.05,8.1,11.23,0.0,0.5,10.5,44.88
假鲍鱼,3,350.0,青豆[青大豆](干):50.0g | 鲍鱼[杂色鲍]:250.0g | 辣椒(红，尖，干):50.0g,2333.5,56.25,16.0,60.55,0.0,0.0,771.0,5032.15
烤馒头片,6,181.0,馒头(均值):150.0g | 五香粉:2.0g | 黄油:10.0g | 鸡蛋(白皮):2.0g | 糖（白砂糖）:2.0g | 黑芝麻汤圆:15.0g,2059.01,11.57,13.86,80.62,0.3,0.0,75.83,257.61
醋溜白菜,3,22.0,大白菜(均值):2.0g | 生抽:10.0g | 姜(干):10.0g,139.42,1.42,0.58,6.46,0.0,0.62,8.8,640.61
胡萝卜玉米,4,102.0,胡萝卜(红)[金笋，丁香萝卜]:1.0g | 玉米(白，干):1.0g | 小米:50.0g | 青豆[青大豆](干):50.0g,1615.02,21.85,9.59,56.08,0.0,0.13,120.92,3.79
锅包肉,10,511.0,猪肉(里脊):200.0g | 藕粉:180.0g | 鸡蛋(白皮):50.0g | 青蒜:10.0g | 胡萝卜(红)[金笋，丁香萝卜]:25.0g | 胡椒粉:10.0g | 白醋:15.0g | 糖（绵白糖）:15.0g | 精盐:1.0g | 生抽:5.0g,4902.8,48.83,20.7,194.9,0.0,4.85,66.82,918.99
番茄牛腩汤,6,60.0,牛蒡叶(鲜):10.0g | 番茄[西红柿]:10.0g | 细香葱[香葱，四季葱]:10.0g | 玉兰片:10.0g | 蛇瓜[蛇豆，大豆角]:10.0g | 料酒:10.0g,79.4,1.25,0.18,3.88,0.0,6.3,55.3,27.91
咖喱鸡肉饭,8,127.0,红萝卜:1.0g | 鸡胸脯肉:1.0g | 小米:50.0g | 小米:50.0g | 咖喱粉:6.0g | 料酒:15.0g | 盐水鸭(熟):2.0g | 油饼:2.0g,1681.8,10.52,4.86,79.87,2.21,0.15,76.76,90.77
肉酱意面,10,234.0,凉面:2.0g | 番茄[西红柿]:150.0g | 猪肉(肋条肉):2.0g | 洋葱[葱头](鲜):25.0g | 番茄酱:45.0g | 盐水鸭(熟):2.0g | 黄油:2.0g | 大蒜[蒜头](鲜):2.0g | 牛奶(草莓味，卡夫牌):2.0g | 香肠:2.0g,552.84,5.1,5.01,17.56,0.0,30.64,37.28,109.27
清炒荷兰豆,5,58.0,荷兰豆:25.0g | 油炸豆瓣:4.0g | 盐水鸭(熟):2.0g | 油饼:2.0g | 胡萝卜(红)[金笋，丁香萝卜]:25.0g,200.12,2.37,1.5,6.52,0.0,7.25,24.39,77.03
香辣牛肉酱,7,228.0,牛肉(肥瘦)(均值):200.0g | 花生(鲜)[落花生，长生果]:2.0g | 小米:2.0g | 豆汁(生):2.0g | 大蒜[蒜头](鲜):10.0g | 芝麻籽(白):2.0g | 黄豆酱油:10.0g,1228.66,41.57,9.8,9.6,0.0,0.98,65.94,741.27
豆渣炒蛋,2,20.0,鸡蛋(白皮):10.0g | 黄茎瓜:10.0g,65.5,1.39,0.99,0.35,0.0,0.0,4.8,9.47
鸡汤面,5,380.0,面条(均值):10.0g | 木耳(干)[黑木耳，云耳]:250.0g | 鸡腿:100.0g | 大葱:10.0g | 盐水鸭(熟):10.0g,3785.2,48.91,19.46,171.12,0.0,1.7,628.5,344.68
红薯布朗尼,4,40.0,木薯:10.0g | 可可粉:10.0g | 藕粉:10.0g | 蜂蜜:10.0g,491.5,2.36,1.06,25.09,0.0,3.8,17.4,4.21
鱼头泡饼,14,1036.0,"鲢鱼[白鲢，胖子，连子鱼]:500.0g | 猪肉(肋条肉):150.0g | 油饼:200.0g | 葱(小葱,鲜):25.0g | 辣椒(红，尖，干):10.0g | 面条(干切面):2.0g | 大葱:10.0g | 姜[黄姜](鲜):5.0g | 大蒜[蒜头](鲜):5.0g | 生抽:10.0g | 番茄酱:15.0g | 盐水鸭(熟):3.0g | 味精:1.0g | 花生油:100.0g",13099.38,123.44,254.4,98.28,0.0,7.5,410.66,2334.78
鸡翅包饭,6,191.0,鸡翅:150.0g | 玉米淀粉:5.0g | 新奥尔良鸡翅(肯德基):30.0g | 水面筋:2.0g | 什锦炒饭:2.0g | 蜂蜜:2.0g,1645.4,33.37,22.0,15.54,0.04,0.15,18.86,460.21
手冲咖啡,1,16.0,咖啡豆:16.0g,206.72,2.74,1.41,11.02,8.82,0.0,12.96,0.35
白菜猪肉炖粉条,9,549.0,粉条:1.0g | 大白菜(均值):300.0g | 猪肉(奶面)[硬五花]:100.0g | 蛇瓜[蛇豆，大豆角]:50.0g | 料酒:15.0g | 生抽:45.0g | 老抽:25.0g | 奶糖:3.0g | 盐水鸭(熟):10.0g,2040.17,24.77,33.88,23.36,0.0,95.0,270.4,5029.34
脆皮蛋卷,6,332.0,蛋（鸡蛋，均值):50.0g | 藕粉:100.0g | 玉米油:30.0g | 糖（白砂糖）:30.0g | 黑芝麻汤圆:2.0g | 牛奶(草莓味，卡夫牌):120.0g,3921.38,10.18,38.04,137.76,0.04,0.0,137.28,111.51
酱汁,9,57.0,黄瓜[胡瓜](鲜):1.0g | 奶片:10.0g | 盐水鸭(熟):2.0g | 韭菜:2.0g | 红萝卜:2.0g | 鸡蛋(白皮):10.0g | 沙果:10.0g | 椰子:10.0g | 青蒜:10.0g,430.74,3.69,4.7,11.88,0.0,3.63,36.3,66.75
芝士球,8,170.0,马铃薯[土豆，洋芋]:50.0g | 虾米[海米，虾仁]:10.0g | 奶片:10.0g | 胡椒粉:5.0g | 胡椒粉:10.0g | 盐水鸭(熟):5.0g | 蛋（鸡蛋，均值):50.0g | 面包(均值):30.0g,1436.65,18.11,9.95,45.19,0.0,14.0,129.9,721.99
西红柿蛋汤,4,195.0,番茄[西红柿]:100.0g | 蛋（鸡蛋，均值):50.0g | 盐水鸭(熟):30.0g | 玉米淀粉:15.0g,994.5,12.71,12.45,18.99,0.0,19.0,43.7,538.95
戚风蛋糕卷,7,600.0,蛋（鸡蛋，均值):250.0g | 牛奶(草莓味，卡夫牌):90.0g | 全脂加糖奶粉:10.0g | 鸭蛋黄:70.0g | 玉米油:60.0g | 小麦粉(标准粉):110.0g | 柠檬:10.0g,6946.1,60.51,111.99,105.69,0.0,2.2,390.6,424.73
卤豆腐干,7,70.0,豆腐干(均值):10.0g | 酱油(均值):10.0g | 糖（白砂糖）:10.0g | 辣椒(红，尖，干):10.0g | 花椒:10.0g | 茴香[小茴香](鲜):10.0g | 姜(干):10.0g,650.7,5.51,3.07,30.89,0.0,2.6,126.1,608.15
卤鸭,7,37.0,梨(鸭梨):25.0g | 老抽:2.0g | 生抽:2.0g | 料酒:2.0g | 盐水鸭(熟):2.0g | 腐乳(白)[酱豆腐]:2.0g | 油面筋:2.0g,138.68,1.4,1.25,4.21,0.0,1.0,4.14,352.62
奥利奥冰激凌,1,2.0,草莓酱:2.0g,22.92,0.02,0.0,1.33,0.0,0.02,0.88,0.17
萝卜条,8,14.0,白萝卜[莱菔](鲜):1.0g | 胡萝卜(红)[金笋，丁香萝卜]:1.0g | 甜椒[灯笼椒，柿子椒]:2.0g | 白醋:2.0g | 糖（绵白糖）:2.0g | 花椒:2.0g | 豆汁(生):2.0g | 盐水鸭(熟):2.0g,91.87,0.53,0.72,3.64,0.0,1.78,14.74,38.18
泡椒凤爪,4,530.0,鸡爪:500.0g | 料酒:10.0g | 花椒:10.0g | 料酒:10.0g,5427.5,120.23,82.89,20.15,0.0,0.0,246.7,903.74
油酥,12,955.0,酥皮糕点:10.0g | 蛋（鸡蛋，均值):50.0g | 藕粉:500.0g | 水面筋:150.0g | 糖（绵白糖）:50.0g | 猪油(炼):175.0g | 红豆馅:10.0g | 芝麻籽(白):2.0g | 黑芝麻汤圆:2.0g | 糖（白砂糖）:2.0g | 椰子汁饮料:2.0g | 花生(鲜)[落花生，长生果]:2.0g,16848.97,44.92,182.04,551.22,0.04,0.28,203.4,153.14
青椒鸡蛋酱,5,34.0,彩椒:10.0g | 鸡蛋白:10.0g | 豆瓣酱:10.0g | 糖（绵白糖）:2.0g | 鸡精:2.0g,162.6,2.87,0.77,5.29,0.34,10.4,7.38,987.15
炒蘑菇,6,257.0,油（橄榄油):2.0g | 洋葱[葱头](鲜):50.0g | 口蘑(白蘑):200.0g | 酱牛肉:2.0g | 盐水鸭(熟):2.0g | 烧饼(加糖):1.0g,2542.57,78.99,9.48,68.45,0.0,4.0,351.11,61.76
芒果捞,14,693.0,凉面:1.0g | 黄瓜[胡瓜](鲜):25.0g | 胡萝卜(红)[金笋，丁香萝卜]:25.0g | 精盐:10.0g | 胡椒粉:10.0g | 油饼:10.0g | 蛋（鸡蛋，均值):50.0g | 海参:100.0g | 奶油攀司:50.0g | 乳品（奶油）:2.0g | 海苔:10.0g | 芒果[抹猛果，望果]:50.0g | 小米:200.0g | 牛奶(草莓味，卡夫牌):150.0g,6090.11,52.15,41.45,220.85,4.64,35.6,621.4,4830.17
莲藕素汤,4,24.0,茶树菇(干)[柱状田头菇、油茶菇]:2.0g | 玉米(白，干):10.0g | 花生(鲜)[落花生，长生果]:2.0g | 藕粉:10.0g,359.2,1.6,0.94,18.15,0.31,0.28,2.04,1.52
桂花杏仁豆腐,3,22.0,杏:10.0g | 奶片:10.0g | 花卷:2.0g,232.56,1.55,2.05,7.75,0.0,0.9,28.68,20.1
白酒蛤蜊意面,10,928.0,凉面:250.0g | 蛤蜊(均值):250.0g | 白葡萄酒:150.0g | 油（橄榄油):60.0g | 洋葱[葱头](鲜):50.0g | 大蒜[蒜头](鲜):4.0g | 姜(干):10.0g | 辣椒(红，尖，干):150.0g | 胡椒粉:2.0g | 盐水鸭(熟):2.0g,7005.96,62.06,86.18,197.06,0.0,4.28,402.5,1517.12
酱爆茄子,6,253.0,茄子(均值):150.0g | 青蒜:10.0g | 辣椒(红，尖，干):50.0g | 豆瓣酱:10.0g | 烧饼(加糖):3.0g | 料酒:30.0g,886.53,11.08,7.07,37.91,0.0,9.1,55.43,695.11
武汉热干面,10,393.0,"面条(均值):300.0g | 老抽:5.0g | 生抽:15.0g | 芝麻油[香油]:25.0g | 芝麻酱:30.0g | 油面筋:10.0g | 萝卜干:2.0g | 葱(小葱,鲜):2.0g | 豆角:2.0g | 榨菜:2.0g",5601.63,34.66,45.4,198.44,0.0,1.16,399.08,1571.39
包粽子,3,2004.0,糯米[江米](均值):2000.0g | 莴笋叶[莴苣叶]:2.0g | 红豆沙:2.0g,29722.36,146.12,20.01,1567.21,0.0,0.26,521.06,31.31
草莓山药泥,5,1036.0,草莓[洋莓，凤阳草莓]:1000.0g | 小米:4.0g | 蜂蜜:30.0g | 豆腐丝:1.0g | 杏仁:1.0g,1852.27,10.92,3.25,96.98,0.0,471.16,185.85,42.55
自制豆芽菜,2,20.0,绿豆芽:10.0g | 水面筋:10.0g,68.6,2.56,0.02,1.52,0.0,0.6,8.5,1.94
韭菜摊鸡蛋,3,23.0,牛至:3.0g | 韭菜:10.0g | 盐水鸭(熟):10.0g,150.67,1.9,2.65,1.27,0.0,3.69,11.74,157.05
韩式泡菜,13,534.0,白菜薹[菜薹，菜心]:2.0g | 胡萝卜(红)[金笋，丁香萝卜]:1.0g | 白萝卜[莱菔](鲜):25.0g | 姜[黄姜](鲜):1.0g | 玉米笋(罐头):3.0g | 韭菜:2.0g | 洋葱[葱头](鲜):25.0g | 盐水鸭(熟):200.0g | 糯米[江米](均值):60.0g | 凉面:120.0g | 鱼腥草(叶)[蕺菜、臭菜]:35.0g | 烧饼(加糖):35.0g | 苹果脯:25.0g,5258.59,47.68,55.71,143.46,3.36,14.38,96.58,3368.2
葱烧海参,4,40.0,"葱(小葱,鲜):10.0g | 海参:10.0g | 花椒:10.0g | 酱油(均值):10.0g",202.7,3.04,0.96,8.4,0.0,2.1,106.2,631.77
锅巴,13,115.0,鸡胸脯肉:1.0g | 红豆沙:2.0g | 南瓜[倭瓜，番瓜](鲜):25.0g | 青豆[青大豆](干):2.0g | 胡萝卜(红)[金笋，丁香萝卜]:1.0g | 香菇[香蕈，冬菇](鲜):2.0g | 洋葱[葱头](鲜):50.0g | 花生油:2.0g | 花椒:10.0g | 油面筋:15.0g | 盐水鸭(熟):2.0g | 姜[黄姜](鲜):2.0g | 香大米:1.0g,732.78,6.94,7.7,21.59,0.0,6.23,90.08,44.95
猪肉香菇酱,2,20.0,香菇[香蕈，冬菇](鲜):10.0g | 猪肉(肋条肉):10.0g,244.8,1.15,5.93,0.52,0.0,0.1,0.8,8.14
小肠,7,30.0,腊肠:10.0g | 姜[黄姜](鲜):2.0g | 芥菜[雪里红，雪菜](鲜):2.0g | 烧饼(加糖):2.0g | 剁辣椒:10.0g | 油饼:2.0g | 玉米淀粉:2.0g,353.84,2.75,5.4,6.71,0.59,0.7,10.74,400.05
虾仁炒饭,6,417.0,籼米(标准)[机米]:100.0g | 西兰花[绿菜花]:220.0g | 鸡蛋白:10.0g | 虾米[海米，虾仁]:75.0g | 大蒜[蒜头](鲜):10.0g | 姜[黄姜](鲜):2.0g,2525.05,51.33,3.91,91.04,0.0,112.98,580.99,3722.18
香椿拌豆腐,6,92.0,香椿[香椿芽](鲜):1.0g | 豆腐花[豆腐粉]:1.0g | 盐水鸭(熟):15.0g | 油饼:30.0g | 油（胡麻油):15.0g | 生抽:30.0g,1299.22,6.42,25.84,14.09,0.0,0.4,23.26,2320.92
水煮,4,40.0,果料面包:10.0g | 鱼（黄鳝）[鳝鱼]:10.0g | 黄豆芽:10.0g | 花卷:10.0g,266.9,3.74,0.61,10.83,0.0,0.8,20.6,38.29
土豆焖饭,8,121.0,马铃薯[土豆，洋芋]:50.0g | 胡萝卜(红)[金笋，丁香萝卜]:25.0g | 玉米(白，干):25.0g | 香菇(干)[香蕈，冬菇]:5.0g | 火腿:10.0g | 油饼:2.0g | 生抽:2.0g | 盐水鸭(熟):2.0g,832.65,6.64,4.88,33.95,0.0,17.0,20.39,299.35
梅干菜饼,4,852.0,藕粉:280.0g | 水面筋:170.0g | 西梅:400.0g | 油饼:2.0g,6203.68,43.47,1.03,323.36,6.0,5.6,196.52,79.99
麻辣鸡,15,759.0,素鸡:500.0g | 豆瓣菜[西洋菜，水田芥](鲜):20.0g | 玉米面(白):40.0g | 花椒:10.0g | 花椒:10.0g | 盐水鸭(熟):10.0g | 料酒:20.0g | 生抽:20.0g | 糖（白砂糖）:3.0g | 蛇瓜[蛇豆，大豆角]:8.0g | 芝麻油[香油]:8.0g | 味精:5.0g | 大蒜[蒜头](鲜):5.0g | 姜[黄姜](鲜):20.0g | 油（辣椒油):80.0g,8488.49,92.91,156.93,72.21,0.0,11.87,1769.55,3789.85
江米条,4,577.0,糯米[江米](均值):300.0g | 荞麦:75.0g | 黑芝麻汤圆:2.0g | 水面筋:200.0g,6758.88,75.96,5.2,315.13,0.04,0.0,266.63,38.49
麻辣猪蹄,7,70.0,猪蹄:10.0g | 剁辣椒:10.0g | 豆瓣酱:10.0g | 姜[黄姜](鲜):10.0g | 油饼:10.0g | 老抽:10.0g | 蛇瓜[蛇豆，大豆角]:10.0g,452.0,5.62,5.0,10.83,0.59,0.8,38.6,1605.62
火烧云,4,133.0,烧饼(加糖):8.0g | 蛋（鸡蛋，均值):100.0g | 奶片:20.0g | 柠檬:5.0g,1104.13,16.66,13.07,19.99,0.0,2.1,118.93,172.5
水煮海螺,4,1025.0,海带[江白菜](鲜):1000.0g | 姜[黄姜](鲜):5.0g | 盐水鸭(熟):5.0g | 醋栗[灯笼果]:15.0g,653.35,13.03,2.42,23.17,0.0,4.4,465.6,164.77
拉面,5,1854.0,藕粉:1000.0g | 盐水鸭(熟):20.0g | 水面筋:830.0g | 豆沙:2.0g | 油（橄榄油):2.0g,21207.24,200.48,8.09,1033.71,0.0,0.0,713.64,544.47
菠萝包,9,482.0,菠萝[凤梨，地菠萝]:1.0g | 小麦粉(标准粉):175.0g | 小麦粉(标准粉):75.0g | 酵母(干):3.0g | 糖（白砂糖）:40.0g | 盐水鸭(熟):3.0g | 蛋清肠:25.0g | 牛奶(草莓味，卡夫牌):135.0g | 黄油:25.0g,6111.62,37.05,38.84,240.87,0.0,0.18,209.65,388.72
香肠炒年糕,8,181.2,年糕:100.0g | 白菜薹[菜薹，菜心]:50.0g | 香肠:1.0g | 大蒜[蒜头](鲜):5.0g | 香菜[芫荽](鲜):5.0g | 大葱:5.0g | 油饼:15.0g | 味精:0.2g,1037.54,6.61,4.74,45.24,0.0,25.6,94.69,198.33
抹茶曲奇,5,515.0,藕粉:230.0g | 藕粉:10.0g | 小麦粉(标准粉):100.0g | 黄油:125.0g | 蛋清肠:50.0g,10419.6,19.68,135.4,299.7,0.0,0.0,106.95,651.0
豆乳盒子,12,532.0,大黄米[黍子]:50.0g | 年糕:20.0g | 豆浆:10.0g | 黄豆粉:10.0g | 蛋黄（鸡蛋黄）:150.0g | 糖（白砂糖）:30.0g | 藕粉:20.0g | 玉米淀粉:10.0g | 乳品（奶油）:10.0g | 乳品（奶油）:200.0g | 糖（白砂糖）:20.0g | 黄豆粉:2.0g,12055.98,35.99,249.75,131.15,0.0,0.0,257.84,661.0
脱脂酸奶,5,141.0,藕粉:1.0g | 全脂奶粉(三鹿牌):110.0g | 藕粉:10.0g | 烧饼(加糖):10.0g | 葫子:10.0g,2684.24,28.83,32.78,57.88,0.0,2.9,744.58,547.88
